{'t': 5, 'side': 10, 'vol': 1600000, 'r': 509, 'level': 2, 'pts': 3149.0, 'expected': 3143.418467583497, 'slices': 200.0, 'nodes': 11251.0, 'recall': 0.987694506192442, 't_line': 0.023135020717745647, 't_plane': 0.020161604072200134, 't_ntv': 0.13198216675664298, 't_fib': 0.008006957999896258, 'w_line': 80000, 'w_plane': 4000, 'w_fib': 200}
{'t': 5, 'side': 10, 'vol': 1600000, 'r': 4001, 'level': 2, 'pts': 398.75, 'expected': 399.9000249937516, 'slices': 200.0, 'nodes': 1914.0, 'recall': 0.961128526645768, 't_line': 0.022111197700724006, 't_plane': 0.014751312497537583, 't_ntv': 0.04141028126468882, 't_fib': 0.0020616977417375892, 'w_line': 80000, 'w_plane': 4000, 'w_fib': 200}
{'t': 5, 'side': 10, 'vol': 1600000, 'r': 32003, 'level': 3, 'pts': 48.75, 'expected': 49.99531293941193, 'slices': 10.0, 'nodes': 398.5, 'recall': 0.9641025641025641, 't_line': 0.024005552259040996, 't_plane': 0.015457562258234248, 't_ntv': 0.014860260504065081, 't_fib': 0.0003578025207389146, 'w_line': 80000, 'w_plane': 4000, 'w_fib': 10}
{'t': 5, 'side': 10, 'vol': 1600000, 'r': 250007, 'level': 4, 'pts': 8.75, 'expected': 6.39982080501746, 'slices': 1.0, 'nodes': 105.0, 'recall': 1.0, 't_line': 0.02269340626662597, 't_plane': 0.013548864691983908, 't_ntv': 0.008030927245272323, 't_fib': 9.016625699587166e-05, 'w_line': 80000, 'w_plane': 4000, 'w_fib': 1}
{'t': 5, 'side': 10, 'vol': 1600000, 'r': 1000003, 'level': 4, 'pts': 2.0, 'expected': 1.5999952000144, 'slices': 1.0, 'nodes': 36.25, 'recall': 1.0, 't_line': 0.02273517701542005, 't_plane': 0.013740395748754963, 't_ntv': 0.0074034999997820705, 't_fib': 3.53332725353539e-05, 'w_line': 80000, 'w_plane': 4000, 'w_fib': 1}
{'t': 6, 'side': 6, 'vol': 1492992, 'r': 7, 'level': 0, 'pts': 213285.0, 'expected': 213284.57142857142, 'slices': 124416.0, 'nodes': 0.0, 'recall': 1.0, 't_line': 0.0715257394767832, 't_plane': 0.25334432246745564, 't_ntv': 2.254477229260374, 't_fib': 0.09800634349812753, 'w_line': 124416, 'w_plane': 10368, 'w_fib': 124416}
{'t': 6, 'side': 6, 'vol': 1492992, 'r': 61, 'level': 1, 'pts': 24453.5, 'expected': 24475.27868852459, 'slices': 10368.0, 'nodes': 0.0, 'recall': 0.9995910605843744, 't_line': 0.03903120825998485, 't_plane': 0.07346427100128494, 't_ntv': 0.950963302020682, 't_fib': 0.07679527049185708, 'w_line': 124416, 'w_plane': 10368, 'w_fib': 10368}
{'t': 6, 'side': 6, 'vol': 1492992, 'r': 509, 'level': 2, 'pts': 2933.0, 'expected': 2933.186640471513, 'slices': 864.0, 'nodes': 13464.0, 'recall': 0.9994885782475281, 't_line': 0.03972102078841999, 't_plane': 0.04216396878473461, 't_ntv': 0.35715120821259916, 't_fib': 0.012203448015497997, 'w_line': 124416, 'w_plane': 10368, 'w_fib': 864}
{'t': 6, 'side': 6, 'vol': 1492992, 'r': 4001, 'level': 3, 'pts': 369.25, 'expected': 373.1547113221695, 'slices': 72.0, 'nodes': 3061.25, 'recall': 0.7907921462423833, 't_line': 0.04054097950574942, 't_plane': 0.03717078099725768, 't_ntv': 0.1158840625139419, 't_fib': 0.0025021354958880693, 'w_line': 124416, 'w_plane': 10368, 'w_fib': 72}
{'t': 6, 'side': 6, 'vol': 1492992, 'r': 32003, 'level': 4, 'pts': 46.5, 'expected': 46.65162641002406, 'slices': 6.0, 'nodes': 790.25, 'recall': 1.0, 't_line': 0.04090759399696253, 't_plane': 0.03494714596308768, 't_ntv': 0.05298221900011413, 't_fib': 0.0006138019962236285, 'w_line': 124416, 'w_plane': 10368, 'w_fib': 6}
{'t': 6, 'side': 6, 'vol': 1492992, 'r': 250007, 'level': 5, 'pts': 6.25, 'expected': 5.971800789577892, 'slices': 1.0, 'nodes': 215.0, 'recall': 1.0, 't_line': 0.03955987497465685, 't_plane': 0.056672593287657946, 't_ntv': 0.03881452098721638, 't_fib': 0.00017229176592081785, 'w_line': 124416, 'w_plane': 10368, 'w_fib': 1}
{'t': 6, 'side': 6, 'vol': 1492992, 'r': 1000003, 'level': 5, 'pts': 2.5, 'expected': 1.4929875210374368, 'slices': 1.0, 'nodes': 58.75, 'recall': 1.0, 't_line': 0.040751541760982946, 't_plane': 0.033895187720190734, 't_ntv': 0.03799387498293072, 't_fib': 5.6219258112832904e-05, 'w_line': 124416, 'w_plane': 10368, 'w_fib': 1}
